Player,Age,Team,Pos,G,MP,FG,FGA,FG%,2P,2PA,2P%,eFG%,FT,FTA,FT%,TRB,AST,PF,PTS,Awards
Wayne Hightower,27,DET,PF,29,19.4,3.2,8.9,.355,3.2,8.9,.355,.355,2.2,3.0,.744,5.7,1.0,2.8,8.6,
Ron Reed,24,DET,PF,62,20.1,3.6,9.7,.372,3.6,9.7,.372,.372,1.3,2.1,.594,6.8,1.3,2.3,8.5,
Mel Counts,25,2TM,C,56,15.4,3.2,7.5,.422,3.2,7.5,.422,.422,1.2,1.7,.734,6.1,0.9,3.3,7.6,
Mel Counts,25,BAL,C,25,13.7,2.6,6.7,.389,2.6,6.7,.389,.389,1.2,1.6,.725,6.2,1.2,3.2,6.4,
Mel Counts,25,LAL,C,31,16.7,3.6,8.1,.444,3.6,8.1,.444,.444,1.3,1.7,.741,6.1,0.7,3.3,8.5,
Jon McGlocklin,23,CIN,SF,60,19.9,3.6,8.2,.440,3.6,8.2,.440,.440,1.2,1.7,.712,2.7,1.6,1.4,8.5,
Tom Hawkins,30,LAL,SF,76,23.7,3.6,7.5,.481,3.6,7.5,.481,.481,1.1,2.3,.474,5.7,1.1,2.7,8.3,
John Barnhill,28,BAL,PG,53,22.9,3.5,8.4,.418,3.5,8.4,.418,.418,1.2,1.9,.641,3.0,2.6,1.5,8.3,
Johnny Green,33,BAL,PF,61,15.5,3.3,7.2,.465,3.3,7.2,.465,.465,1.6,3.4,.464,6.5,0.9,2.3,8.2,
Larry Costello,35,PHI,PG,49,19.9,2.7,6.0,.444,2.7,6.0,.444,.444,2.4,2.7,.902,2.1,2.9,2.9,7.8,
Keith Erickson,22,CHI,SF,76,19.1,3.1,8.4,.367,3.1,8.4,.367,.367,1.5,2.1,.736,4.5,1.6,2.6,7.7,
Jim Washington,23,CHI,PF,77,19.2,3.3,7.8,.417,3.3,7.8,.417,.417,1.1,2.1,.553,6.1,0.7,2.4,7.7,
Don Nelson,26,BOS,SF,79,15.2,2.9,6.4,.446,2.9,6.4,.446,.446,1.8,2.4,.742,3.7,0.8,1.8,7.5,
Jerry Chambers,23,LAL,SF,69,14.7,3.2,7.2,.452,3.2,7.2,.452,.452,1.0,1.3,.731,3.0,0.6,2.1,7.5,
Al Attles,30,SFW,PG,69,25.6,3.1,6.8,.454,3.1,6.8,.454,.454,1.3,2.2,.583,4.7,3.9,3.8,7.4,
