,index,Player,Pos,Age,Tm,Height,Weight,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
266,175,Lindsey Hunter,PG,28,DET,188.0,88.5,49,49,35.8,4.7,10.7,.435,1.2,3.1,.386,3.4,7.6,.456,.491,1.4,1.8,.753,0.5,2.9,3.4,3.9,1.8,0.2,1.9,2.6,11.9
267,146,Litterial Green,PG,28,CLE,185.4,84.0,1,0,2.0,0.0,1.0,.000,0.0,0.0,,0.0,1.0,.000,.000,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
268,253,Loren Meyer,C,26,DEN,208.3,116.7,14,0,5.0,0.5,2.0,.250,0.1,0.4,.200,0.4,1.6,.261,.268,0.1,0.1,.500,0.3,0.9,1.1,0.1,0.0,0.2,0.3,1.6,1.1
269,438,Lorenzen Wright,C,23,LAC,210.8,115.8,48,15,23.6,2.5,5.4,.458,0.0,0.0,.000,2.5,5.4,.459,.458,1.7,2.4,.692,3.0,4.6,7.5,0.7,0.5,0.8,1.0,3.4,6.6
270,393,Loy Vaught,PF,30,DET,205.7,104.4,37,10,13.0,1.6,4.2,.381,0.0,0.0,.000,1.6,4.2,.383,.381,0.2,0.4,.643,1.0,3.0,3.9,0.3,0.4,0.2,0.5,1.5,3.4
271,221,Luc Longley,C,30,PHO,221.0,135.3,39,39,23.9,3.6,7.4,.483,0.0,0.0,,3.6,7.4,.483,.483,1.5,1.9,.776,1.5,4.2,5.7,1.2,0.6,0.5,1.4,3.1,8.7
272,156,Lucious Harris,SG,28,NJN,195.6,86.3,36,5,16.7,2.0,5.0,.403,0.3,1.4,.220,1.7,3.6,.473,.434,1.0,1.3,.750,0.6,1.3,1.9,0.9,0.5,0.2,0.5,1.4,5.4
273,275,Makhtar N'Diaye,PF,25,VAN,203.2,111.2,4,0,6.8,0.3,1.0,.250,0.0,0.0,,0.3,1.0,.250,.250,0.8,1.0,.750,0.8,0.5,1.3,0.3,0.0,0.3,0.3,2.3,1.3
274,339,Malik Rose,PF,24,SAS,200.7,113.5,47,0,12.9,2.0,4.3,.463,0.0,0.0,.000,2.0,4.3,.465,.463,2.1,3.1,.671,1.9,2.0,3.9,0.6,0.9,0.5,1.2,2.6,6.0
275,347,Malik Sealy,SF,28,MIN,203.2,86.3,31,7,23.6,3.1,7.5,.411,0.2,0.7,.261,2.9,6.7,.428,.424,1.8,2.0,.902,0.7,2.2,3.0,1.2,1.0,0.2,1.1,2.2,8.1
276,57,Marcus Camby,C,24,NYK,210.8,109.0,46,0,20.5,3.0,5.7,.521,0.0,0.0,,3.0,5.7,.521,.521,1.2,2.2,.553,2.2,3.3,5.5,0.3,0.6,1.6,0.8,2.8,7.2
